,State,Participation,Composite
0,Alabama,100.0,19.1
1,Alaska,33.0,20.8
2,Arizona,66.0,19.2
3,Arkansas,100.0,19.4
4,California,27.0,22.7
5,Colorado,30.0,23.9
6,Connecticut,26.0,25.6
7,Delaware,17.0,23.8
8,District of columbia,32.0,23.6
9,Florida,66.0,19.9
10,Georgia,53.0,21.4
11,Hawaii,89.0,18.9
12,Idaho,36.0,22.3
13,Illinois,43.0,23.9
14,Indiana,32.0,22.5
15,Iowa,68.0,21.8
16,Kansas,71.0,21.6
17,Kentucky,100.0,20.2
18,Louisiana,100.0,19.2
19,Maine,7.0,24.0
20,Maine,7.0,24.0
21,Maryland,31.0,22.5
22,Massachusetts,25.0,25.5
23,Michigan,22.0,24.2
24,Minnesota,99.0,21.3
25,Mississippi,100.0,18.6
26,Missouri,100.0,20.0
27,Montana,100.0,20.0
28,Nebraska,100.0,20.1
29,Nevada,100.0,17.7
30,New Hampshire,16.0,25.1
31,New Jersey,31.0,23.7
32,New Mexico,67.0,19.4
33,New York,27.0,24.5
34,North Carolina,100.0,19.1
35,North Dakota,98.0,20.3
36,Ohio,100.0,20.3
37,Oklahoma,100.0,19.3
38,Oregon,42.0,21.3
39,Pennsylvania,20.0,23.5
40,Rhode Island,15.0,24.2
41,South Carolina,100.0,18.3
42,South Dakota,77.0,21.9
43,Tennessee,100.0,19.6
44,Texas,45.0,20.7
45,Utah,100.0,20.4
46,Vermont,24.0,24.1
47,Virginia,24.0,23.9
48,Washington,24.0,22.2
49,West Virginia,65.0,20.3
50,Wisconsin,100.0,20.5
51,Wyoming,100.0,20.0
